# q=4.941618e-01 chizA=0.000000e+00 chizB=0.000000e+00 f0=2.000000e+01
# M=5.015448e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+02 phi=-4.950961e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
0.000000000e+00 8.493160155191e-22 -8.804936640682e-22 0.000000000000e+00 0.000000000000e+00
2.441406250e-04 8.778729930392e-22 -8.521644332250e-22 0.000000000000e+00 0.000000000000e+00
4.882812500e-04 9.055310472545e-22 -8.229326571109e-22 0.000000000000e+00 0.000000000000e+00
7.324218750e-04 9.322715128969e-22 -7.928278155644e-22 0.000000000000e+00 0.000000000000e+00
9.765625000e-04 9.580673170066e-22 -7.618745092052e-22 0.000000000000e+00 0.000000000000e+00
1.220703125e-03 9.828918040389e-22 -7.300981719079e-22 0.000000000000e+00 0.000000000000e+00
1.464843750e-03 1.006718924590e-21 -6.975251424269e-22 0.000000000000e+00 0.000000000000e+00
1.708984375e-03 1.029524326073e-21 -6.641830177367e-22 0.000000000000e+00 0.000000000000e+00
1.953125000e-03 1.051284767264e-21 -6.301002397356e-22 0.000000000000e+00 0.000000000000e+00
2.197265625e-03 1.071977605201e-21 -5.953058470177e-22 0.000000000000e+00 0.000000000000e+00
2.441406250e-03 1.091580801602e-21 -5.598294716708e-22 0.000000000000e+00 0.000000000000e+00
2.685546875e-03 1.110072932406e-21 -5.237013374157e-22 0.000000000000e+00 0.000000000000e+00
2.929687500e-03 1.127433140181e-21 -4.869522436939e-22 0.000000000000e+00 0.000000000000e+00
3.173828125e-03 1.143641004654e-21 -4.496135445636e-22 0.000000000000e+00 0.000000000000e+00
3.417968750e-03 1.158676704704e-21 -4.117172080502e-22 0.000000000000e+00 0.000000000000e+00
3.662109375e-03 1.172521074317e-21 -3.732958284829e-22 0.000000000000e+00 0.000000000000e+00
3.906250000e-03 1.185155619122e-21 -3.343826258415e-22 0.000000000000e+00 0.000000000000e+00
4.150390625e-03 1.196562533779e-21 -2.950114448947e-22 0.000000000000e+00 0.000000000000e+00
4.394531250e-03 1.206724725188e-21 -2.552167527867e-22 0.000000000000e+00 0.000000000000e+00
4.638671875e-03 1.215625901787e-21 -2.150336157999e-22 0.000000000000e+00 0.000000000000e+00
4.882812500e-03 1.223250573576e-21 -1.744976902748e-22 0.000000000000e+00 0.000000000000e+00
5.126953125e-03 1.229584012550e-21 -1.336452317306e-22 0.000000000000e+00 0.000000000000e+00
5.371093750e-03 1.234612271368e-21 -9.251309299282e-23 0.000000000000e+00 0.000000000000e+00
5.615234375e-03 1.238322204572e-21 -5.113872150464e-23 0.000000000000e+00 0.000000000000e+00
5.859375000e-03 1.240701490752e-21 -9.560156124794e-24 0.000000000000e+00 0.000000000000e+00
6.103515625e-03 1.241738657074e-21 3.218397944143e-23 0.000000000000e+00 0.000000000000e+00
6.347656250e-03 1.241423117999e-21 7.405451384693e-23 0.000000000000e+00 0.000000000000e+00
6.591796875e-03 1.239745189364e-21 1.160117245503e-22 0.000000000000e+00 0.000000000000e+00
